id,title,isbn,publication_year,summary,author_id
1,Пикник на обочине,978-5-699-12345-6,1972,"Сталкеры проникают в аномальную Зону, где остались артефакты внеземной цивилизации.",1
2,Трудно быть богом,978-5-17-067890-1,1964,"История землянина на другой планете, где он наблюдает за развитием средневекового общества.",1
3,Убийство в «Восточном экспрессе»,978-5-04-123456-7,1934,Эркюль Пуаро расследует убийство в застрявшем в снегу поезде.,3
4,Десять негритят,978-5-17-098765-4,1939,"Десять незнакомцев, приглашённых на остров, умирают по стишку-считалке.",3
5,Оно,978-5-389-12345-1,1986,"Жители городка Дерри сталкиваются с древним злом, возвращающимся каждые 27 лет.",4
6,Сияние,978-5-17-082734-0,1977,"Семья смотрителя оказывается в заснеженном отеле, где на них воздействуют тёмные силы.",4
7,Мастер и Маргарита,978-5-17-067891-8,1966,Фантасмагорический роман о визите дьявола в Москву и история о мастере.,5
8,Собачье сердце,978-5-02-123456-8,1987,Гениальный эксперимент по очеловечиванию собаки приводит к неожиданным последствиям.,5
9,Понедельник начинается в субботу,978-5-699-54321-0,1965,Весёлая история о работниках научно-исследовательского института магии и волшебства.,1
10,Заводной апельсин,978-5-699-12340-1,1962,"Мрачное антиутопическое будущее, где подростки предаются насилию.",4
